N, K, Somatório, Tempo médio
1000000000, 1, 123, 2.165150
1000000000, 1, 123, 2.155730
1000000000, 1, 123, 2.169421
1000000000, 1, 123, 2.165863
1000000000, 1, 123, 2.169487
1000000000, 1, 123, 2.171048
1000000000, 1, 123, 2.170058
1000000000, 1, 123, 2.174903
1000000000, 1, 123, 2.172594
1000000000, 1, 123, 2.163866
1000000000, 2, 123, 7.389012
1000000000, 2, 123, 6.526379
1000000000, 2, 123, 6.826077
1000000000, 2, 123, 7.049915
1000000000, 2, 123, 5.199226
1000000000, 2, 123, 6.970599
1000000000, 2, 123, 6.272425
1000000000, 2, 123, 5.316602
1000000000, 2, 123, 7.058625
1000000000, 2, 123, 6.225935
1000000000, 4, 123, 21.426179
1000000000, 4, 123, 20.435091
1000000000, 4, 123, 18.362286
1000000000, 4, 123, 23.741816
1000000000, 4, 123, 24.719409
1000000000, 4, 123, 23.365176
1000000000, 4, 123, 17.307109
1000000000, 4, 123, 24.873532
1000000000, 4, 123, 27.962215
1000000000, 4, 123, 26.224105
1000000000, 8, 123, 48.590624
1000000000, 8, 123, 44.312554
1000000000, 8, 123, 70.203866
1000000000, 8, 123, 56.535352
1000000000, 8, 123, 44.047062
1000000000, 8, 123, 49.147032
1000000000, 8, 123, 39.202151
1000000000, 8, 123, 55.130487
1000000000, 8, 123, 53.614400
1000000000, 8, 123, 47.875910
1000000000, 16, 123, 108.885013
1000000000, 16, 123, 126.273393
1000000000, 16, 123, 73.086262
1000000000, 16, 123, 128.818806
1000000000, 16, 123, 98.340158
1000000000, 16, 123, 89.192605
1000000000, 16, 123, 98.106744
1000000000, 16, 123, 108.836557
1000000000, 16, 123, 112.002794
1000000000, 16, 123, 102.076845
1000000000, 32, 123, 264.996615
1000000000, 32, 123, 198.298051
1000000000, 32, 123, 201.108557
1000000000, 32, 123, 141.502482
1000000000, 32, 123, 195.044055
1000000000, 32, 123, 224.486964
1000000000, 32, 123, 192.392767
1000000000, 32, 123, 193.618252
1000000000, 32, 123, 161.766848
1000000000, 32, 123, 200.139734
1000000000, 64, 123, 239.648504
1000000000, 64, 123, 257.203910
1000000000, 64, 123, 292.428844
1000000000, 64, 123, 321.898826
1000000000, 64, 123, 310.468203
1000000000, 64, 123, 255.112746
1000000000, 64, 123, 338.312101
1000000000, 64, 123, 343.615505
1000000000, 64, 123, 292.855909
1000000000, 64, 123, 298.967838
1000000000, 128, 123, 433.961830
1000000000, 128, 123, 524.368012
1000000000, 128, 123, 479.593317
1000000000, 128, 123, 479.412429
1000000000, 128, 123, 420.740130
1000000000, 128, 123, 496.769293
1000000000, 128, 123, 628.806971
1000000000, 128, 123, 524.121065
1000000000, 128, 123, 507.495975
1000000000, 128, 123, 384.984698
1000000000, 256, 123, 777.156070
1000000000, 256, 123, 597.871291
1000000000, 256, 123, 791.143678
1000000000, 256, 123, 612.238365
1000000000, 256, 123, 782.211765
1000000000, 256, 123, 764.238837
1000000000, 256, 123, 807.471366
1000000000, 256, 123, 658.653200
1000000000, 256, 123, 603.127166
1000000000, 256, 123, 647.479152
