N, K, Somatório, Tempo médio
100000000, 1, 41, 0.224226
100000000, 1, 41, 0.229488
100000000, 1, 41, 0.219763
100000000, 1, 41, 0.217880
100000000, 1, 41, 0.229033
100000000, 1, 41, 0.223568
100000000, 1, 41, 0.227686
100000000, 1, 41, 0.227879
100000000, 1, 41, 0.231573
100000000, 1, 41, 0.226602
100000000, 2, 41, 0.691436
100000000, 2, 41, 0.761901
100000000, 2, 41, 0.729566
100000000, 2, 41, 0.654224
100000000, 2, 41, 0.703881
100000000, 2, 41, 0.664933
100000000, 2, 41, 0.679011
100000000, 2, 41, 0.625836
100000000, 2, 41, 0.677245
100000000, 2, 41, 0.680337
100000000, 4, 41, 2.714135
100000000, 4, 41, 2.779730
100000000, 4, 41, 2.805003
100000000, 4, 41, 2.806664
100000000, 4, 41, 2.982442
100000000, 4, 41, 2.712353
100000000, 4, 41, 2.555753
100000000, 4, 41, 3.043338
100000000, 4, 41, 2.941019
100000000, 4, 41, 2.767072
100000000, 8, 41, 15.012502
100000000, 8, 41, 12.038853
100000000, 8, 41, 6.252237
100000000, 8, 41, 7.210720
100000000, 8, 41, 8.283790
100000000, 8, 41, 4.819306
100000000, 8, 41, 6.858987
100000000, 8, 41, 5.098519
100000000, 8, 41, 5.512085
100000000, 8, 41, 5.874835
100000000, 16, 41, 12.728360
100000000, 16, 41, 6.923963
100000000, 16, 41, 10.440268
100000000, 16, 41, 18.925930
100000000, 16, 41, 9.228052
100000000, 16, 41, 8.205702
100000000, 16, 41, 7.692130
100000000, 16, 41, 13.353985
100000000, 16, 41, 18.734128
100000000, 16, 41, 16.630777
100000000, 32, 41, 29.314859
100000000, 32, 41, 17.581987
100000000, 32, 41, 29.024946
100000000, 32, 41, 42.767974
100000000, 32, 41, 19.661643
100000000, 32, 41, 34.087155
100000000, 32, 41, 22.405953
100000000, 32, 41, 18.061303
100000000, 32, 41, 21.600643
100000000, 32, 41, 19.682999
100000000, 64, 41, 55.852907
100000000, 64, 41, 29.665709
100000000, 64, 41, 55.233702
100000000, 64, 41, 42.307061
100000000, 64, 41, 72.229539
100000000, 64, 41, 59.114754
100000000, 64, 41, 63.458278
100000000, 64, 41, 68.977572
100000000, 64, 41, 28.755164
100000000, 64, 41, 17.794133
100000000, 128, 41, 92.511823
100000000, 128, 41, 119.173739
100000000, 128, 41, 52.485789
100000000, 128, 41, 147.147173
100000000, 128, 41, 84.172667
100000000, 128, 41, 33.606072
100000000, 128, 41, 60.888143
100000000, 128, 41, 59.300708
100000000, 128, 41, 114.790376
100000000, 128, 41, 21.398954
100000000, 256, 41, 127.436059
100000000, 256, 41, 169.631172
100000000, 256, 41, 69.371983
100000000, 256, 41, 188.350494
100000000, 256, 41, 131.739613
100000000, 256, 41, 207.543338
100000000, 256, 41, 145.614714
100000000, 256, 41, 61.505295
100000000, 256, 41, 108.979533
100000000, 256, 41, 174.159547
